,Unnamed: 0,x,y,r,g,b,Title,Artist,Year,Genre
2406,2406,6.2453213,0.6982343,0.3598733421575164,0.159645226899145,0.2149569694972932,Shadow Dancer,"Eric Tingstad, Nancy Rumbel",1998,NewAge
2407,2407,11.601587,3.4646733,0.0668900615845859,0.973327179330451,0.7555138545719108,Couldn't Do Better (Official Timeless 2022 Anthem),"VDK, Dirty Workz",2022,Hardstyle
2408,2408,0.48299783,3.0217986,0.8985065761619568,0.9414148370914456,0.4605856069340574,End of All,Deeds of Flesh,2010,Grindcore
2409,2409,10.365723,4.2534485,0.2966136833946617,0.9243454727907608,0.5291237094051143,Un-Break My Heart - Classic Radio Mix,"Toni Braxton, Frankie Knuckles",1996,RnB
2410,2410,5.534337,2.5373576,0.4520292383178672,0.5335363014348756,0.5405904568953365,Te no Hira,Watariroukahashiritai,2010,JIdol
2411,2411,1.213252,3.9360104,0.848104703566012,0.8862143074527644,0.5645285226618397,Go My Way,"Oski, The Arcturians",2017,Dubstep
2412,2412,4.85491,6.4876657,0.5853010078197538,0.91769122823813,0.4996808639154722,Problema Emocional - Ao Vivo,Reinaldo,2017,Samba
2413,2413,-0.56638545,3.719711,0.9013063263397556,0.9777182283694094,0.4755007486778538,Éjjel-Nappal Budapest - Radio Edit,"Myon & Shane 54, Tóth Gabi",2013,ProgressiveHouse
2414,2414,4.752211,6.3266106,0.5416249876375794,0.9135657707164004,0.3585416480226905,Magnolia Blues,Adia Victoria,2021,Folk
2415,2415,7.395166,2.8825276,0.369900301523534,0.6050137552245266,0.4258701450525691,Maghihintay Ako,Jona,2017,OPM
2416,2416,3.0101283,5.6665583,0.7509289446157296,0.9472690661652926,0.4075770861278089,残酷な天使のテーゼ (Directors Edit Version),Yoko Takahashi,2003,Anime
2417,2417,1.641953,6.8318753,0.7882390459476641,0.937881645932564,0.6884003002133504,Since I Fell For You - Rudy Van Gelder Edition / 2007 / Digital Remaster,Lee Morgan,1957,Jazz
2418,2418,2.235137,4.2038274,0.7794566811570859,0.7778419556128223,0.5592565094934817,The Bells of Dawn (Zoryu b’yut),"Georgy Sviridov, Dmitri Hvorostovsky, Masters of Choral Singing, Lev Kontorovich",2014,Opera
2419,2419,7.789573,4.7601404,0.2127157373982157,0.9236197666064436,0.2264337284965915,La Llevo Al Cielo (Ft. Ñengo Flow),"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",2022,Reggaeton
